date;artist;track;spotify_data;album_name;album_release_date;track_popularity;artist_id
2022-06-28;Męskie Granie Orkiestra 2022;JEST TYLKO TERAZ;Jest tylko teraz (feat. Bedoes, Krzysztof Zalewski & Kwiat Jabłoni)|2022-05-31|60|1WbPJm4WVQvxOEQO1GEJy7;Jest tylko teraz (feat. Bedoes, Krzysztof Zalewski & Kwiat Jabłoni);2022-05-31;60.0;1WbPJm4WVQvxOEQO1GEJy7
2022-06-28;Lady Gaga;HOLD MY HAND;"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")|2022-05-03|85|1HY2Jd0NmPuamShAr6KMms";"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")";2022-05-03;85.0;1HY2Jd0NmPuamShAr6KMms
2022-06-28;Luxtorpeda;PRZYGOTUJ SIĘ NA NAJLEPSZE;Omega|2022-06-01|34|0D5kXlS7UOApMpTyuSrFAW;Omega;2022-06-01;34.0;0D5kXlS7UOApMpTyuSrFAW
2022-06-28;Czesław Mozil;Z MIŁOŚCI;#IDEOLOGIAMOZILA|2021-11-26|25|5rDWHA1JYXY31soG6Os9cY;#IDEOLOGIAMOZILA;2021-11-26;25.0;5rDWHA1JYXY31soG6Os9cY
2022-06-28;Muchy;PSY MIŁOŚCI;Psy miłości|2021-11-16|10|09Z3SI4GkhYjpCB6884vC8;Psy miłości;2021-11-16;10.0;09Z3SI4GkhYjpCB6884vC8
2022-06-28;Fisz Emade Tworzywo;SPEKTRUM BARW;Ballady I Protesty|2021-10-29|37|0YYxsW13yGiA2e80fu4VIA;Ballady I Protesty;2021-10-29;37.0;0YYxsW13yGiA2e80fu4VIA
2022-06-28;Eddie Vedder;LONG WAY;Earthling|2022-02-11|48|0mXTJETA4XUa12MmmXxZJh;Earthling;2022-02-11;48.0;0mXTJETA4XUa12MmmXxZJh
2022-06-28;Bluszcz;ODRA;Odra|2021-08-19|31|4QUfzPnzzNf93Y6VKxZVlD;Odra;2021-08-19;31.0;4QUfzPnzzNf93Y6VKxZVlD
2022-06-28;Diana Ross;THANK YOU;Thank You|2021-06-17|58|3MdG05syQeRYPPcClLaUGl;Thank You;2021-06-17;58.0;3MdG05syQeRYPPcClLaUGl
2022-06-28;Krzysztof Zalewski;WILK;Wilk|2022-02-15|30|1U1eSs7M2ENf09cDx4lavK;Wilk;2022-02-15;30.0;1U1eSs7M2ENf09cDx4lavK
2022-06-28;Michael Kiwanuka;BEAUTIFUL LIFE;Beautiful Life|2021-10-12|54|0bzfPKdbXL5ezYW2z3UGQj;Beautiful Life;2021-10-12;54.0;0bzfPKdbXL5ezYW2z3UGQj
2022-06-28;Maria Peszek;LOVESONG;Ave Maria|2021-09-10|40|2bJ904AqmK8LRH9fGShlQM;Ave Maria;2021-09-10;40.0;2bJ904AqmK8LRH9fGShlQM
2022-06-28;Blurred Pink;CZY TU JEST NASZ DOM?;CZY TU JEST NASZ DOM?|2021-04-11|35|420ExMrSqalFaHc9dypLlN;CZY TU JEST NASZ DOM?;2021-04-11;35.0;420ExMrSqalFaHc9dypLlN
2022-06-28;Sting;RUSHING WATER;The Bridge (Super Deluxe)|2022-06-17|40|0Ty63ceoRnnJKVEYP0VQpk;The Bridge (Super Deluxe);2022-06-17;40.0;0Ty63ceoRnnJKVEYP0VQpk
2022-06-28;Iron Maiden;THE WRITING ON THE WALL;Senjutsu|2021-09-03|45|6mdiAmATAx73kdxrNrnlao;Senjutsu;2021-09-03;45.0;6mdiAmATAx73kdxrNrnlao
2022-06-28;Skubas;DOBRA CZARODZIEJKA;Dobra Czarodziejka|2021-05-25|40|5BoG8WljgEsbLOtoK5IAok;Dobra Czarodziejka;2021-05-25;40.0;5BoG8WljgEsbLOtoK5IAok
2022-06-28;Dave Gahan;METAL HEART;Imposter|2021-11-12|42|7hKXTmrq3ZppBx881yBbOr;Imposter;2021-11-12;42.0;7hKXTmrq3ZppBx881yBbOr
2022-06-28;The Rolling Stones;LIVING IN THE HEART OF LOVE;Living In The Heart Of Love|2021-08-19|33|22bE4uQ6baNwSHPVcDxLCe;Living In The Heart Of Love;2021-08-19;33.0;22bE4uQ6baNwSHPVcDxLCe
2022-06-28;Iron Maiden;DAYS OF FUTURE PAST;Senjutsu|2021-09-03|43|6mdiAmATAx73kdxrNrnlao;Senjutsu;2021-09-03;43.0;6mdiAmATAx73kdxrNrnlao
