date;artist;artist_id;spotify_data;artist_name;artist_genres;artist_popularity;artist_followers
2022-07-04;Follow;13DQTaJffWrdyqeUe7Fzr2;The Following Sea||0|4;The Following Sea;;0;4
2022-07-04;Porcupine Tree;5NXHXK6hOCotCF8lvGM1I0;Porcupine Tree|alternative metal,art rock,progressive metal,progressive rock,symphonic rock|58|563481;Porcupine Tree;alternative metal,art rock,progressive metal,progressive rock,symphonic rock;58;563481
2022-07-04;Diana Ross;3MdG05syQeRYPPcClLaUGl;Diana Ross|adult standards,disco,motown,quiet storm,soft rock,soul|66|1473765;Diana Ross;adult standards,disco,motown,quiet storm,soft rock,soul;66;1473765
2022-07-04;Robert Plant;1OwarW4LEHnoep20ixRA0y;Robert Plant|album rock,art rock,blues rock,classic rock,hard rock,mellow gold,progressive rock,rock,roots rock,soft rock,symphonic rock,uk americana|58|954070;Robert Plant;album rock,art rock,blues rock,classic rock,hard rock,mellow gold,progressive rock,rock,roots rock,soft rock,symphonic rock,uk americana;58;954070
2022-07-04;Mitch;2PQkXVCcXu0Nwf226rzGXq;Mitch & Mitch|polish alternative rock|34|4802;Mitch & Mitch;polish alternative rock;34;4802
2022-07-04;Dawid Tyszkowski;2Lp4rVUJ5ZRZfT8wkWF81K;Dawid Tyszkowski||34|885;Dawid Tyszkowski;;34;885
2022-07-04;The Waterboys;5TnuP42pw475UrjjeabtwZ;The Waterboys|art rock,celtic rock,new wave pop,rock,scottish new wave,scottish rock|55|218081;The Waterboys;art rock,celtic rock,new wave pop,rock,scottish new wave,scottish rock;55;218081
2022-07-04;Kalush Orchestra;46rVVJwHWNS7C7MaWXd842;KALUSH|ukrainian hip hop,ukrainian pop,ukrainian viral pop|62|224518;KALUSH;ukrainian hip hop,ukrainian pop,ukrainian viral pop;62;224518
2022-07-04;Stanisława Celińska;0sijpMmVF9ui4micUVn9d6;Stanisława Celińska|classic polish pop|27|5079;Stanisława Celińska;classic polish pop;27;5079
2022-07-04;MARO;3NP4jJcW3R6qO6rbtnH0wn;MARO|musica portuguesa contemporanea|57|71546;MARO;musica portuguesa contemporanea;57;71546
2022-07-04;Mariusz Lubomski;05AVHcWP9DF6y6LEU845uz;Mariusz Lubomski|classic polish pop|18|2107;Mariusz Lubomski;classic polish pop;18;2107
2022-07-04;WaluśKraksaKryzys;4kOWvyAkvmkCrIHwW3bODd;WaluśKraksaKryzys|polish alternative,polish indie rock,polish post-punk|40|11768;WaluśKraksaKryzys;polish alternative,polish indie rock,polish post-punk;40;11768
2022-07-04;Classix Nouveaux;40PsC6cWe7ZQdOUTqF5JgD;Classix Nouveaux|new romantic,new wave,new wave pop,synthpop|28|22127;Classix Nouveaux;new romantic,new wave,new wave pop,synthpop;28;22127
2022-07-04;LemON;3B4XG3HanBgkVOybc89Q3T;LemON|polish pop,rusyn folk|43|39967;LemON;polish pop,rusyn folk;43;39967
2022-07-04;Blossoms;22RISwgVJyZu9lpqAcv1F5;Blossoms|modern rock,rock|58|394691;Blossoms;modern rock,rock;58;394691
2022-07-04;Jack Savoretti;7nC05zmJukRGYObQeRgg3x;Jack Savoretti|acoustic pop,neo mellow|53|266967;Jack Savoretti;acoustic pop,neo mellow;53;266967
2022-07-04;Męskie Granie Orkiestra 2022;1WbPJm4WVQvxOEQO1GEJy7;Męskie Granie Orkiestra 2022|polish pop|46|2594;Męskie Granie Orkiestra 2022;polish pop;46;2594
2022-07-04;Lady Gaga;1HY2Jd0NmPuamShAr6KMms;Lady Gaga|art pop,dance pop,pop|83|22521696;Lady Gaga;art pop,dance pop,pop;83;22521696
2022-07-04;Luxtorpeda;0D5kXlS7UOApMpTyuSrFAW;Luxtorpeda|polish punk,polish rock,poznan indie|37|45637;Luxtorpeda;polish punk,polish rock,poznan indie;37;45637
2022-07-04;Czesław Mozil;5rDWHA1JYXY31soG6Os9cY;Czesław Śpiewa|poezja spiewana,polish alternative|35|59432;Czesław Śpiewa;poezja spiewana,polish alternative;35;59432
2022-07-04;Bluszcz;4QUfzPnzzNf93Y6VKxZVlD;Bluszcz|polish alternative,polish electronica|35|8006;Bluszcz;polish alternative,polish electronica;35;8006
2022-07-04;Krzysztof Zalewski;1U1eSs7M2ENf09cDx4lavK;Krzysztof Zalewski|polish alternative rock,polish pop|54|190127;Krzysztof Zalewski;polish alternative rock,polish pop;54;190127
2022-07-04;Michael Kiwanuka;0bzfPKdbXL5ezYW2z3UGQj;Michael Kiwanuka|british soul,neo soul,psychedelic soul,soul|62|1235113;Michael Kiwanuka;british soul,neo soul,psychedelic soul,soul;62;1235113
2022-07-04;Maria Peszek;2bJ904AqmK8LRH9fGShlQM;Maria Peszek|classic polish pop,poezja spiewana,polish alternative,polish pop|39|65240;Maria Peszek;classic polish pop,poezja spiewana,polish alternative,polish pop;39;65240
2022-07-04;Blurred Pink;420ExMrSqalFaHc9dypLlN;blurred pink||17|795;blurred pink;;17;795
2022-07-04;Sting;0Ty63ceoRnnJKVEYP0VQpk;Sting|permanent wave,soft rock,sophisti-pop|69|2683795;Sting;permanent wave,soft rock,sophisti-pop;69;2683795
2022-07-04;Iron Maiden;6mdiAmATAx73kdxrNrnlao;Iron Maiden|hard rock,metal,nwobhm,rock|72|7493600;Iron Maiden;hard rock,metal,nwobhm,rock;72;7493600
2022-07-04;Skubas;5BoG8WljgEsbLOtoK5IAok;SKUBAS|polish alternative,polish indie|37|25661;SKUBAS;polish alternative,polish indie;37;25661
2022-07-04;Dave Gahan;7hKXTmrq3ZppBx881yBbOr;Dave Gahan|alternative dance,new romantic,new wave,synthpop|42|173068;Dave Gahan;alternative dance,new romantic,new wave,synthpop;42;173068
2022-07-04;The Rolling Stones;22bE4uQ6baNwSHPVcDxLCe;The Rolling Stones|album rock,british invasion,classic rock,rock|77|11863579;The Rolling Stones;album rock,british invasion,classic rock,rock;77;11863579
2022-07-04;Organek;2cPIQ8eVSqSKGjBQXgi3WH;Organek|polish alternative,polish alternative rock,polish pop|46|205311;Organek;polish alternative,polish alternative rock,polish pop;46;205311
2022-07-04;Eric Clapton;6PAt558ZEZl0DmdXlnjMgD;Eric Clapton|album rock,blues rock,classic rock,electric blues,mellow gold,rock,soft rock|70|4966678;Eric Clapton;album rock,blues rock,classic rock,electric blues,mellow gold,rock,soft rock;70;4966678
2022-07-04;Marcin Nowakowski;3enFhWFiJILf4OYGcTPdMy;Marcin Nowakowski|bajki|8|307;Marcin Nowakowski;bajki;8;307
2022-07-04;Elton John;3PhoLpVuITZKcymswpck5b;Elton John|glam rock,mellow gold,piano rock|82|9581039;Elton John;glam rock,mellow gold,piano rock;82;9581039
2022-07-04;Olivia Vedder, Eddie Vedder, Glen Hansard;1cALtYxOIn4uWAfNdwcP4E;Olivia Vedder||35|4770;Olivia Vedder;;35;4770
2022-07-04;Strachy Na Lachy;4DXXg7xzgKAEYeFhh9wAtk;Strachy Na Lachy|polish alternative rock|45|156921;Strachy Na Lachy;polish alternative rock;45;156921
2022-07-04;Scorpions;27T030eWyCQRmDyuvr1kxY;Scorpions|album rock,german hard rock,german metal,german rock,hard rock,metal,rock|71|5690726;Scorpions;album rock,german hard rock,german metal,german rock,hard rock,metal,rock;71;5690726
2022-07-04;Bitamina;2EJzUdaDAwfqcjpQcRAYdQ;Bitamina|polish alternative,polish indie,polish pop|45|126323;Bitamina;polish alternative,polish indie,polish pop;45;126323
2022-07-04;Daria Zawiałow;0tdKRrbItnLj40yUFi23jx;Daria Zawiałow|polish alternative,polish indie,polish pop|61|323188;Daria Zawiałow;polish alternative,polish indie,polish pop;61;323188
2022-07-04;Jan Borysewicz;3aOdQc0HYtG1ZJoU5eyv8P;Jan Borysewicz||33|1333;Jan Borysewicz;;33;1333
2022-07-04;Adele;4dpARuHxo51G3z768sgnrY;Adele|british soul,pop,pop soul,uk pop|83|39700424;Adele;british soul,pop,pop soul,uk pop;83;39700424
2022-07-04;Patrick The Pan;7vYfq6OMlGDw1IpTxar2h2;Patrick the Pan|polish alternative,polish indie,polish pop|37|16519;Patrick the Pan;polish alternative,polish indie,polish pop;37;16519
2022-07-04;Artur Rojek;2wmdMX0w131ZumU30P5WZH;Artur Rojek|polish alternative,polish indie,polish pop|50|130110;Artur Rojek;polish alternative,polish indie,polish pop;50;130110
2022-07-04;Billy Idol;7lzordPuZEXxwt9aoVZYmG;Billy Idol|album rock,classic rock,dance rock,hard rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock|67|1450860;Billy Idol;album rock,classic rock,dance rock,hard rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock;67;1450860
2022-07-04;Król;0gH4VBwt5MwWomiOXloDC4;KRÓL|polish alternative,polish indie|48|28824;KRÓL;polish alternative,polish indie;48;28824
2022-07-04;Męskie Granie Orkiestra 2021;5xoXMR6Y8PORwObvyND9ZE;Męskie Granie Orkiestra 2021|polish alternative,polish pop|55|153359;Męskie Granie Orkiestra 2021;polish alternative,polish pop;55;153359
2022-07-04;Stromae;5j4HeCoUlzhfWtjAfM1acR;Stromae|belgian pop,g-house|72|2432804;Stromae;belgian pop,g-house;72;2432804
2022-07-04;Aurora;1WgXqy2Dd70QQOU7Ay074N;AURORA|art pop,norwegian pop|71|2325622;AURORA;art pop,norwegian pop;71;2325622
